Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Runs,Yards,EYds Rank,EYds,TD,FUM,Suc Rate Rank,Suc Rate
B. Snell,PIT,-11,-15,-26.5%,-31.1%,14,61,40,0,71%,0
J. Samuels,PIT,-12,-17,-29.5%,-36.7%,14,46,29,0,64%,0
D. Washington,2TM,-13,-6,-38.6%,-25.4%,10,30,10,0,50%,0
L. McCoy,TB,-16,-14,-30.3%,-27.4%,19,101,37,0,79%,0
C. Hyde,SEA,-19,-19,-33.6%,-32.7%,20,93,27,0,80%,1
K. Vaughn,TB,-25,-19,-61.9%,-49.6%,10,34,-15,1,50%,1
D. Booker,LV,-26,-20,-37.5%,-32.7%,21,84,25,0,81%,0
J. McNichols,TEN,-32,-23,-50.0%,-39.9%,17,55,-3,0,71%,0
D. Ogunbowale,JAX,-36,-40,-50.3%,-54.5%,20,54,-4,0,50%,0
P. Lindsay,DEN,-38,-37,-62.3%,-60.0%,14,28,-23,0,50%,0

